"","school","sex","age","address","Fsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nschool","higher","internet","relationship","famqual","freetime","goout","Dalc","Walc","health","absences","Grade"
"418","MS","M",17,"U","GT3","T",3,2,"other","other","other","father",2,2,0,"no","yes","yes","no","yes","yes","yes","no",4,1,2,2,2,1,0,13
"419","MS","M",19,"U","GT3","T",1,1,"other","other","other","mother",1,2,2,"no","yes","no","yes","yes","no","yes","no",4,4,3,3,4,4,2,10
"420","MS","F",17,"R","GT3","T",1,1,"at_home","at_home","course","father",2,1,0,"no","yes","no","yes","yes","no","yes","yes",3,5,5,2,2,4,3,10
"421","MS","F",16,"R","GT3","T",1,2,"other","other","home","father",1,3,0,"yes","yes","no","no","no","yes","yes","yes",4,3,4,1,1,3,5,13
"422","MS","M",16,"R","LE3","T",1,2,"other","at_home","course","mother",1,1,0,"no","no","no","no","yes","yes","no","no",4,4,4,2,4,5,4,11
"423","MS","F",17,"R","GT3","T",3,1,"other","other","course","mother",2,2,3,"no","yes","no","yes","no","yes","yes","yes",5,4,4,1,1,5,2,10
"424","MS","M",17,"R","GT3","T",2,2,"other","other","course","mother",2,1,0,"no","no","no","yes","yes","no","no","yes",5,5,5,3,5,5,0,10
"425","MS","M",18,"R","GT3","T",1,0,"at_home","at_home","course","other",3,1,1,"yes","yes","no","no","yes","yes","no","no",4,3,2,1,1,4,0,13
"426","MS","M",17,"R","GT3","T",1,1,"other","services","course","mother",2,1,0,"no","yes","no","yes","no","yes","yes","yes",4,5,5,1,3,2,0,10
"427","MS","M",17,"U","GT3","T",2,2,"other","other","course","mother",1,1,1,"no","no","no","yes","yes","yes","no","yes",1,2,1,2,3,5,0,0
"429","MS","M",16,"R","LE3","T",1,1,"at_home","other","course","mother",2,1,0,"no","no","no","yes","yes","yes","yes","no",4,5,5,2,4,5,0,9
"430","MS","M",18,"R","GT3","T",1,1,"services","other","course","other",2,1,1,"no","yes","no","no","yes","no","yes","yes",5,3,3,2,3,5,2,9
"431","MS","M",19,"U","GT3","T",3,2,"at_home","services","course","mother",2,1,3,"no","no","no","yes","yes","yes","no","no",3,2,1,1,1,3,4,9
"432","MS","M",16,"R","GT3","T",2,2,"services","services","course","mother",2,1,0,"no","yes","no","yes","yes","yes","yes","yes",5,4,3,2,4,4,6,8
"433","MS","F",16,"U","GT3","A",3,2,"services","at_home","course","mother",2,2,2,"no","yes","no","yes","yes","yes","no","yes",2,5,5,1,1,1,8,7
"434","MS","F",17,"U","GT3","T",1,1,"other","at_home","course","mother",1,1,0,"no","yes","no","yes","yes","yes","no","no",4,3,2,1,2,5,9,10
"435","MS","F",18,"R","GT3","A",4,3,"services","services","course","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",5,4,4,3,4,2,8,10
"436","MS","M",18,"R","GT3","T",3,2,"other","other","course","mother",2,1,0,"no","yes","no","no","no","yes","yes","no",2,5,5,5,5,5,8,11
"437","MS","M",19,"R","GT3","T",1,1,"other","services","home","other",3,2,1,"no","no","no","no","yes","yes","yes","no",5,4,4,3,3,2,8,11
"438","MS","M",17,"U","GT3","T",3,3,"health","other","course","mother",2,2,1,"no","yes","no","no","yes","yes","yes","no",4,5,4,2,3,3,4,10
"439","MS","M",18,"U","LE3","T",1,3,"at_home","services","course","mother",1,1,0,"no","no","no","no","yes","no","yes","yes",4,3,3,2,3,3,0,9
"440","MS","F",18,"R","GT3","T",2,2,"other","other","other","mother",2,1,1,"no","no","no","no","yes","no","yes","yes",5,5,5,1,1,3,0,0
"441","MS","F",17,"R","LE3","A",3,1,"other","at_home","course","other",2,3,0,"no","yes","yes","no","yes","no","no","no",4,2,3,2,2,3,5,8
"442","MS","F",17,"U","GT3","T",4,2,"teacher","services","home","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","no",5,5,5,1,3,5,0,0
"443","MS","F",18,"R","LE3","T",2,2,"services","services","course","mother",1,2,1,"no","yes","no","yes","yes","yes","yes","no",2,3,3,1,2,4,3,8
"444","MS","F",17,"U","LE3","T",1,2,"at_home","other","course","father",1,1,0,"no","no","no","no","yes","yes","yes","no",5,5,1,1,1,3,0,10
"445","MS","F",18,"U","GT3","T",1,1,"other","other","course","mother",3,2,2,"no","no","no","yes","yes","yes","no","yes",3,4,4,2,2,5,3,7
"446","MS","F",18,"U","GT3","T",2,2,"services","at_home","reputation","father",2,2,0,"no","no","no","yes","no","yes","yes","no",4,3,5,1,1,1,2,14
"447","MS","F",18,"U","LE3","A",1,2,"at_home","other","reputation","mother",2,2,0,"no","no","no","no","yes","yes","yes","no",4,4,3,1,2,4,0,14
"448","MS","F",18,"U","GT3","T",4,4,"teacher","teacher","reputation","mother",2,2,0,"no","no","no","yes","no","yes","yes","no",4,3,5,1,2,1,0,18
"450","MS","F",18,"R","GT3","T",2,2,"at_home","other","course","mother",3,2,1,"no","no","no","yes","yes","yes","no","yes",4,3,3,1,1,4,0,0
"451","MS","M",18,"R","GT3","T",4,4,"at_home","services","other","mother",3,1,0,"no","yes","yes","yes","yes","yes","yes","yes",2,5,5,1,1,1,5,14
"452","MS","M",17,"R","GT3","T",1,1,"other","services","other","father",3,1,0,"no","no","no","no","no","no","no","no",4,2,3,3,4,4,4,14
"453","MS","F",18,"U","GT3","T",2,2,"other","other","course","mother",2,2,0,"no","yes","no","no","no","yes","yes","yes",1,3,1,1,1,2,4,10
"454","MS","F",18,"U","LE3","T",2,2,"services","services","course","father",2,3,0,"no","no","no","no","yes","yes","yes","yes",5,4,5,1,4,3,0,13
"456","MS","F",18,"U","GT3","T",1,1,"at_home","services","course","mother",3,2,1,"no","no","no","no","yes","no","no","no",4,4,2,1,2,2,2,10
"457","MS","F",17,"U","GT3","T",4,2,"teacher","other","course","father",2,4,0,"no","no","no","no","yes","yes","yes","yes",4,2,3,3,1,5,0,18
"458","MS","F",18,"U","LE3","A",1,1,"at_home","services","course","mother",1,2,0,"no","no","no","no","yes","yes","no","yes",5,2,3,1,2,3,2,11
"459","MS","F",18,"U","GT3","T",1,2,"at_home","at_home","course","father",2,2,0,"no","yes","no","no","yes","no","no","no",4,1,1,1,1,4,0,12
"460","MS","F",19,"R","GT3","A",1,1,"at_home","at_home","course","other",2,2,3,"no","yes","no","yes","yes","no","no","yes",3,5,4,1,4,1,0,0
"461","MS","F",18,"R","GT3","T",2,2,"services","other","home","mother",2,3,0,"no","no","no","no","yes","yes","yes","yes",4,2,1,1,1,4,5,15
"462","MS","M",17,"R","GT3","T",4,3,"services","other","home","mother",2,2,1,"no","yes","yes","yes","no","yes","yes","yes",4,5,5,1,3,2,4,11
"463","MS","F",17,"R","GT3","T",4,4,"teacher","services","other","father",2,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,2,5,2,12
"464","MS","F",18,"U","GT3","T",3,3,"services","services","other","mother",2,2,0,"no","yes","no","no","yes","yes","yes","yes",4,3,2,1,3,3,6,13
"465","MS","M",18,"U","LE3","T",4,4,"teacher","services","other","mother",2,3,0,"no","no","no","no","yes","yes","yes","yes",4,2,2,2,2,5,0,16
"466","MS","F",17,"R","GT3","T",1,1,"other","services","reputation","mother",3,1,1,"no","yes","no","no","yes","yes","yes","yes",5,2,1,1,2,1,0,9
"467","MS","F",18,"U","GT3","T",2,3,"at_home","services","course","father",2,1,0,"no","yes","no","no","yes","yes","yes","yes",5,2,3,1,2,4,0,10
"468","MS","F",18,"R","GT3","T",4,4,"other","teacher","other","father",3,2,0,"no","yes","no","no","no","yes","yes","yes",3,2,2,4,2,5,0,0
"469","MS","F",17,"U","GT3","T",2,2,"other","at_home","home","mother",1,3,0,"no","no","no","yes","yes","yes","no","yes",3,4,3,1,1,3,8,12
"470","MS","F",17,"R","GT3","T",1,2,"other","other","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,5,5,1,3,1,4,9
"471","MS","F",19,"R","GT3","T",1,1,"at_home","other","course","other",2,2,1,"no","yes","no","no","yes","yes","yes","yes",4,3,3,1,1,3,4,9
"472","MS","F",18,"R","LE3","T",4,4,"teacher","services","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",5,4,3,3,4,2,1,14
"473","MS","F",18,"U","GT3","T",3,3,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","yes",4,1,3,1,2,1,1,16
"474","MS","F",17,"R","GT3","T",3,1,"at_home","other","reputation","mother",1,2,0,"no","yes","no","yes","no","yes","yes","no",4,5,4,2,3,1,10,9
"476","MS","M",18,"R","GT3","T",4,2,"other","other","home","father",2,1,1,"no","no","yes","no","yes","yes","no","no",5,4,3,4,3,3,0,0
"477","MS","F",18,"R","GT3","T",4,4,"teacher","at_home","reputation","mother",3,1,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,3,2,2,5,4,10
"478","MS","F",19,"R","GT3","T",2,3,"services","other","course","mother",1,3,1,"no","no","no","yes","no","yes","yes","no",5,4,2,1,2,5,4,10
"479","MS","F",18,"U","LE3","T",3,1,"teacher","services","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,4,1,1,1,4,16
"480","MS","F",18,"U","GT3","T",1,1,"other","other","course","mother",2,2,0,"no","no","no","yes","yes","yes","no","no",1,1,1,1,1,5,6,9
"481","MS","M",17,"U","LE3","T",3,1,"services","services","course","mother",2,1,0,"no","no","no","no","no","yes","yes","no",2,4,5,3,4,2,6,10
"482","MS","M",18,"R","LE3","T",3,2,"services","other","course","mother",3,1,0,"no","no","no","no","no","yes","yes","no",4,4,1,3,4,5,4,11
"484","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",3,2,2,1,1,5,0,14
"485","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,2,1,2,5,0,13
"486","GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,13
"487","GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,5,1,1,1,5,0,13
"488","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",3,3,3,1,2,2,2,14
"489","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,0,13
"490","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,4,4,1,2,2,6,17
"491","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",3,2,3,1,2,2,10,14
"492","GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",1,1,3,"no","yes","yes","yes","yes","yes","yes","no",5,5,5,2,4,5,2,7
"493","GP","M",16,"U","LE3","T",4,3,"health","other","home","father",1,1,0,"no","no","no","yes","yes","yes","yes","no",3,1,3,1,3,5,6,12
"494","GP","M",15,"U","GT3","T",4,4,"health","health","other","father",1,1,0,"no","yes","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,12
"495","GP","M",16,"U","LE3","T",4,2,"teacher","other","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",4,5,1,1,3,5,0,14
"496","GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,2,4,5,2,10
"497","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,5,2,10
"498","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,0,"no","yes","no","no","no","yes","yes","no",1,2,2,1,3,5,6,12
"499","GP","M",15,"U","GT3","T",2,2,"other","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,2,2,1,2,5,8,12
"500","GP","M",15,"U","GT3","T",4,2,"health","services","other","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",2,2,4,2,4,1,0,11
"501","GP","M",16,"U","LE3","A",3,4,"services","other","home","mother",1,2,0,"yes","yes","yes","yes","yes","yes","yes","no",5,3,3,1,1,5,2,13
"502","GP","M",15,"U","GT3","T",4,4,"health","services","home","mother",1,2,0,"no","yes","yes","no","no","yes","yes","no",5,4,2,3,4,5,0,11
"503","GP","M",15,"R","GT3","T",4,3,"teacher","at_home","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,5,2,1,1,5,0,15
"504","GP","M",15,"U","LE3","T",3,3,"other","other","course","mother",1,2,0,"no","no","no","yes","no","yes","yes","no",5,3,2,1,1,2,0,12
"505","GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"no","yes","no","yes","yes","yes","no","no",3,5,1,1,1,5,4,11
"506","GP","M",15,"U","LE3","T",4,3,"teacher","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,1,4,0,14
"507","GP","M",16,"R","GT3","A",4,4,"other","teacher","reputation","mother",2,3,0,"no","yes","no","yes","yes","yes","yes","yes",2,4,3,1,1,5,4,13
"508","GP","M",15,"U","GT3","T",4,4,"services","teacher","course","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,5,0,15
"509","GP","M",15,"U","GT3","T",2,2,"services","services","course","father",1,1,0,"yes","yes","no","no","yes","yes","yes","no",5,4,1,1,1,1,0,10
"510","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","father",2,2,1,"yes","no","no","yes","yes","yes","yes","no",4,3,3,2,2,5,14,11
"511","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",2,3,5,1,4,3,6,13
"512","GP","M",16,"U","GT3","T",4,3,"health","services","reputation","mother",1,4,0,"no","no","no","yes","yes","yes","yes","no",4,2,2,1,1,2,2,17
"513","GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,3,2,2,5,4,13
"514","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,0,"yes","yes","no","yes","no","yes","yes","no",4,4,4,1,1,3,2,12
"515","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,1,1,5,0,16
"516","GP","M",15,"U","LE3","A",4,2,"health","health","other","father",2,1,0,"no","no","no","no","yes","yes","no","no",5,5,5,3,4,5,4,9
"517","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",5,3,4,4,4,1,0,13
"518","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",5,3,4,1,1,2,2,12
"519","GP","M",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",3,2,2,1,1,5,8,16
"520","GP","M",15,"U","LE3","T",1,2,"other","at_home","home","father",1,2,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,5,0,14
"521","GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,2,3,1,1,5,2,16
"522","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",2,4,4,2,3,4,0,16
"523","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,0,"yes","yes","no","yes","yes","yes","yes","no",3,4,4,2,4,4,0,13
"524","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",1,2,0,"yes","no","no","yes","yes","yes","yes","yes",4,4,4,2,4,2,0,12
"525","GP","M",15,"U","GT3","A",4,4,"other","services","reputation","mother",1,4,0,"no","yes","no","yes","no","yes","yes","yes",1,3,3,5,5,3,0,12
"526","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,0,"yes","yes","no","no","yes","yes","yes","no",4,3,3,1,2,5,0,10
"528","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,0,"no","yes","no","no","no","yes","yes","no",4,4,2,2,3,3,6,15
"530","GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",1,4,0,"no","no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,10
"531","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,0,"yes","yes","no","no","no","yes","yes","yes",3,3,4,2,4,5,2,11
"532","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,3,2,4,5,4,11
"533","GP","M",15,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,2,3,5,0,11
"534","GP","M",15,"U","GT3","T",4,0,"teacher","other","course","mother",2,4,0,"no","no","no","yes","yes","yes","yes","no",3,4,3,1,1,1,0,11
"535","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"no","no","no","no","yes","yes","yes","yes",5,2,3,1,3,3,1,13
"536","GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",2,1,3,"yes","yes","no","yes","yes","no","yes","no",4,5,1,1,1,3,0,10
"537","GP","M",15,"U","GT3","T",2,3,"other","services","course","father",1,1,0,"yes","yes","no","yes","no","yes","yes","yes",3,2,2,1,3,3,0,12
"538","GP","M",15,"U","GT3","T",2,3,"other","other","home","mother",1,3,0,"yes","no","no","no","no","yes","yes","no",5,3,2,1,2,5,2,9
"539","GP","M",15,"U","LE3","T",2,2,"services","services","home","mother",2,2,0,"no","no","yes","yes","yes","yes","yes","no",5,3,3,1,3,4,2,13
"540","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,0,"no","no","no","no","yes","yes","yes","yes",4,4,4,2,3,5,4,12
"542","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,3,1,4,15
"543","GP","M",16,"U","LE3","A",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","no","no",4,1,3,3,5,5,6,10
"544","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,1,2,14
"546","GP","M",16,"R","GT3","T",4,3,"services","other","reputation","mother",2,1,0,"yes","yes","yes","yes","no","yes","yes","no",3,3,3,1,1,4,6,11
"547","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,0,"yes","yes","no","no","yes","yes","yes","no",5,3,5,1,1,3,2,13
"548","GP","M",16,"U","GT3","T",4,4,"services","teacher","other","father",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,3,1,1,4,0,16
"549","GP","M",15,"U","GT3","T",4,4,"services","other","course","mother",1,1,0,"no","yes","yes","yes","no","yes","yes","no",5,3,3,1,1,5,2,12
"550","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,0,"yes","no","no","no","yes","yes","no","no",4,3,3,1,1,4,10,10
"551","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,0,"yes","yes","no","no","yes","yes","yes","no",5,1,2,1,1,3,4,10
"553","GP","M",15,"U","LE3","A",4,4,"teacher","teacher","course","mother",1,1,0,"no","no","no","yes","yes","yes","yes","no",5,5,3,1,1,4,4,14
"554","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,0,"yes","yes","no","yes","yes","yes","yes","no",4,1,2,1,1,2,4,11
"555","GP","M",15,"U","LE3","T",4,2,"teacher","other","course","mother",1,1,0,"no","no","no","no","yes","yes","yes","no",3,5,2,1,1,3,10,18
"556","GP","M",15,"R","GT3","T",2,1,"health","services","reputation","mother",1,2,0,"no","no","no","yes","yes","yes","yes","yes",5,4,2,1,1,5,4,10
"557","GP","M",16,"U","GT3","T",3,3,"other","services","home","father",2,1,0,"no","no","no","yes","yes","yes","yes","no",5,4,2,1,1,5,6,15
"558","GP","M",17,"R","GT3","T",1,3,"other","other","course","father",3,2,1,"no","yes","no","yes","yes","yes","yes","no",5,2,4,1,4,5,14,11
"559","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","mother",1,2,0,"no","no","no","no","no","yes","yes","no",3,2,3,1,2,1,0,14
"560","GP","M",15,"U","GT3","T",2,2,"services","services","home","father",1,4,0,"no","yes","no","yes","yes","yes","yes","no",5,5,4,1,2,5,6,13
"561","GP","F",16,"U","LE3","T",2,4,"other","health","course","father",2,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,2,2,1,2,5,2,13
"562","GP","M",16,"U","GT3","T",4,4,"health","other","course","mother",1,1,0,"no","yes","no","yes","yes","yes","yes","no",3,4,4,1,4,5,4,13
"563","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","yes",5,4,4,1,1,5,0,11
"564","GP","M",15,"U","GT3","T",3,4,"services","services","home","father",1,1,0,"yes","no","no","no","yes","yes","yes","no",5,5,5,3,2,5,2,9
"565","GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,0,"yes","no","no","yes","yes","yes","yes","yes",5,3,2,1,1,1,0,11
"566","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","father",2,3,0,"no","yes","no","no","yes","yes","yes","yes",4,2,2,2,2,5,0,12
"568","GP","F",17,"U","LE3","A",2,1,"other","other","course","mother",3,1,0,"no","yes","no","no","yes","yes","yes","no",3,2,2,1,2,5,8,11
"570","GP","F",17,"U","LE3","T",2,2,"other","other","course","father",1,1,0,"no","yes","no","no","yes","yes","yes","yes",3,4,4,1,3,5,2,12
"571","GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,0,"no","no","no","no","yes","yes","yes","no",3,2,1,1,4,5,12,14
"572","GP","M",16,"U","GT3","T",2,1,"at_home","other","course","mother",4,1,0,"no","no","no","no","yes","yes","no","no",3,2,1,1,1,2,4,11
"573","GP","F",16,"U","GT3","A",2,2,"other","other","home","mother",1,1,1,"no","no","no","no","yes","yes","no","no",5,3,4,1,1,5,12,11
"574","GP","M",15,"R","GT3","T",3,4,"at_home","teacher","course","mother",4,2,0,"no","yes","no","no","yes","yes","no","yes",5,3,3,1,1,5,2,11
"575","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,1,1,5,4,15
"577","GP","F",16,"R","GT3","T",1,1,"at_home","other","course","mother",4,2,0,"no","yes","no","no","yes","yes","no","no",5,1,3,1,1,3,0,13
"578","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,0,"no","yes","no","yes","no","yes","yes","yes",4,3,2,1,1,5,4,10
"579","GP","F",15,"R","GT3","T",1,1,"other","other","course","mother",3,1,1,"no","no","no","yes","yes","yes","yes","yes",5,5,5,1,1,1,2,9
"580","GP","M",15,"U","GT3","T",4,3,"teacher","services","course","father",2,4,0,"yes","yes","no","no","yes","yes","yes","no",2,2,2,1,1,3,6,11
"581","GP","F",15,"U","GT3","A",3,3,"services","services","home","mother",1,2,0,"no","no","no","no","no","yes","no","yes",1,3,2,2,3,1,24,9
"582","GP","M",16,"U","GT3","T",4,4,"services","services","course","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,3,5,0,13
"583","GP","M",16,"U","LE3","T",2,2,"services","services","reputation","father",2,1,0,"no","yes","no","yes","yes","yes","yes","no",2,3,3,2,2,2,4,11
"584","GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",5,4,5,1,2,5,22,6
"585","GP","F",15,"U","LE3","A",2,1,"at_home","other","home","mother",2,1,0,"no","yes","no","yes","yes","no","yes","yes",4,4,2,1,1,5,0,10
"586","GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,1,"no","yes","no","no","yes","yes","yes","no",3,3,2,1,1,3,2,11
"587","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","father",1,2,0,"no","no","no","no","no","yes","no","yes",2,3,4,2,4,1,6,11
"588","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","mother",1,1,0,"no","yes","no","no","yes","no","yes","yes",3,3,2,2,1,5,16,8
"589","GP","M",15,"U","LE3","A",2,1,"services","other","course","mother",4,1,0,"no","no","no","no","yes","yes","yes","no",4,5,5,2,5,5,0,11
"590","GP","M",18,"U","LE3","T",1,1,"other","other","course","mother",1,1,2,"no","no","no","no","yes","no","yes","yes",2,3,5,2,5,4,0,0
"591","GP","M",19,"U","GT3","T",3,2,"services","at_home","home","mother",1,1,0,"no","yes","no","no","yes","no","yes","yes",4,5,4,1,1,4,6,11
"592","GP","F",17,"U","GT3","T",4,4,"other","teacher","course","mother",1,1,0,"yes","yes","no","no","yes","yes","no","yes",4,2,1,1,1,4,0,13
"593","GP","M",15,"R","GT3","T",2,3,"at_home","services","course","mother",1,2,0,"yes","no","yes","yes","yes","yes","no","no",4,4,4,1,1,1,0,8
"594","GP","F",18,"R","GT3","T",1,1,"at_home","other","course","mother",3,1,3,"no","yes","no","yes","no","yes","no","no",5,2,5,1,5,4,6,11
"595","GP","M",16,"R","GT3","T",2,2,"at_home","other","course","mother",3,1,0,"no","no","no","no","no","yes","no","no",4,2,2,1,2,3,4,11
"596","GP","M",16,"U","GT3","T",3,3,"other","services","course","father",1,2,1,"no","yes","no","no","yes","yes","yes","yes",4,5,5,4,4,5,0,1
"597","GP","M",16,"U","LE3","T",1,2,"health","services","course","mother",2,1,2,"no","no","no","no","no","yes","yes","no",4,4,5,3,5,5,0,10
"598","GP","M",17,"R","LE3","T",2,1,"at_home","other","course","mother",2,1,1,"no","no","yes","yes","yes","no","yes","yes",3,3,2,2,2,5,8,9
"599","GP","M",17,"R","GT3","T",3,2,"other","other","course","mother",2,2,2,"yes","yes","no","no","yes","yes","yes","yes",4,4,4,1,4,3,4,8
"601","GP","M",16,"U","GT3","T",1,3,"at_home","services","course","father",1,1,1,"no","no","no","no","yes","no","yes","no",5,3,3,1,4,2,2,8
"602","GP","M",17,"R","LE3","T",1,1,"other","services","course","mother",4,2,0,"no","no","no","yes","yes","no","no","yes",5,3,5,1,5,5,0,8
"603","GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",2,1,3,"no","yes","no","yes","no","no","no","no",4,5,2,1,1,2,10,8
"605","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"no","yes","no","no","no","yes","yes","no",5,1,5,1,1,4,0,13
"606","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","yes","yes",4,4,2,1,1,3,0,17
"607","GP","M",16,"U","GT3","T",3,4,"other","other","course","father",3,1,1,"no","yes","no","yes","no","yes","yes","no",3,4,5,2,4,2,4,10
"609","GP","M",17,"U","LE3","T",4,4,"teacher","other","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,4,4,1,3,5,0,10
"610","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","mother",1,2,0,"no","no","no","yes","no","yes","yes","yes",4,3,5,1,1,3,0,13
"611","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,0,"no","no","no","yes","no","yes","yes","no",3,4,4,1,4,5,0,14
"612","GP","M",17,"U","GT3","T",3,3,"other","other","reputation","father",1,2,0,"no","no","no","yes","no","yes","yes","no",4,3,4,1,4,4,4,10
